province,total_doses,dose,over18,12to17,5to11
Tây Ninh,2616989,dose2,897255,101513,
Tây Ninh,2616989,dose3,521713,,
Bình Dương,6834780,dose1,2634142,199855,32184
Bình Dương,6834780,dose2,2196403,167983,
Bình Dương,6834780,dose3,1440424,,
Đồng Nai,7185929,dose1,2840333,298695,78584
Đồng Nai,7185929,dose2,2746943,274599,
Đồng Nai,7185929,dose3,765350,,
Bà Rịa - Vũng Tàu,2811451,dose1,971107,110539,13162
Bà Rịa - Vũng Tàu,2811451,dose2,913900,109284,
Bà Rịa - Vũng Tàu,2811451,dose3,664784,,
Hồ Chí Minh,20701678,dose1,7401055,735852,233459
Hồ Chí Minh,20701678,dose2,6689934,686779,
Hồ Chí Minh,20701678,dose3,4271471,,
Long An,4501980,dose1,1501827,172997,28426
Long An,4501980,dose2,1465991,159845,
Long An,4501980,dose3,1149874,,
Tiền Giang,4048589,dose1,1325690,158487,14731
Tiền Giang,4048589,dose2,1281884,158833,
Tiền Giang,4048589,dose3,870645,,
Bến Tre,3077262,dose1,1024932,107728,19821
Bến Tre,3077262,dose2,1014106,106287,
Bến Tre,3077262,dose3,323587,,
Trà Vinh,2133686,dose1,698980,98647,20764
Trà Vinh,2133686,dose2,685479,94348,
Trà Vinh,2133686,dose3,521092,,
Vĩnh Long,2503545,dose1,779428,94177,20386
Vĩnh Long,2503545,dose2,767461,89326,
Vĩnh Long,2503545,dose3,462056,,
Đồng Tháp,3704365,dose1,1161677,159914,26924
Đồng Tháp,3704365,dose2,1220823,142815,
Đồng Tháp,3704365,dose3,606117,,
An Giang,4268624,dose1,1378121,208127,12180
An Giang,4268624,dose2,1363647,192341,
An Giang,4268624,dose3,448211,,
Kiên Giang,3549700,dose1,1238102,167347,19237
Kiên Giang,3549700,dose2,1176657,159082,
Kiên Giang,3549700,dose3,720303,,
Cần Thơ,2852608,dose1,945449,111688,23923
Cần Thơ,2852608,dose2,928450,104367,
Cần Thơ,2852608,dose3,385646,,
Hậu Giang,1620402,dose1,533019,74049,12146
Hậu Giang,1620402,dose2,515667,71656,
Hậu Giang,1620402,dose3,156120,,
Sóc Trăng,2740769,dose1,899036,116852,29261
Sóc Trăng,2740769,dose2,865520,111026,
Sóc Trăng,2740769,dose3,48563,,
Bạc Liêu,1739737,dose1,568735,88835,15106
Bạc Liêu,1739737,dose2,561364,86255,
Bạc Liêu,1739737,dose3,237698,,
Cà Mau,2612644,dose1,820314,127106,15520
Cà Mau,2612644,dose2,809499,126643,
Cà Mau,2612644,dose3,247085,,
