province,total_doses,age,dose1,dose2,dose3
Bình Định,3282159,Age 5 to 11,8584,0,0
Bình Định,3282159,Age 12 to 17,143085,139812,0
Bình Định,3282159,Age over 18,1055422,1022738,490996
Phú Yên,1826245,Age 5 to 11,14157,0,0
Phú Yên,1826245,Age 12 to 17,87658,80004,0
Phú Yên,1826245,Age over 18,627043,606949,328508
Khánh Hòa,2952785,Age 5 to 11,14541,0,0
Khánh Hòa,2952785,Age 12 to 17,123377,117591,0
Khánh Hòa,2952785,Age over 18,980038,954156,366167
Ninh Thuận,1304895,Age 5 to 11,8558,0,0
Ninh Thuận,1304895,Age 12 to 17,62104,59430,0
Ninh Thuận,1304895,Age over 18,432691,404795,181081
Bình Thuận,2599002,Age 5 to 11,14065,0,0
Bình Thuận,2599002,Age 12 to 17,132970,124295,0
Bình Thuận,2599002,Age over 18,915991,889857,228171
Kon Tum,1001924,Age 5 to 11,5468,0,0
Kon Tum,1001924,Age 12 to 17,60178,55973,0
Kon Tum,1001924,Age over 18,321753,321906,130746
Gia Lai,2882447,Age 5 to 11,24182,0,0
Gia Lai,2882447,Age 12 to 17,170115,152184,0
Gia Lai,2882447,Age over 18,996471,922967,318421
Đắc Lắc,3722816,Age 5 to 11,10140,0,0
Đắc Lắc,3722816,Age 12 to 17,184965,171551,0
Đắc Lắc,3722816,Age over 18,1262813,1208476,356355
Đắk Nông,1361784,Age 5 to 11,16625,0,0
Đắk Nông,1361784,Age 12 to 17,68281,66310,0
Đắk Nông,1361784,Age over 18,403464,399700,186311
Lâm Đồng,3048851,Age 5 to 11,31660,0,0
Lâm Đồng,3048851,Age 12 to 17,141973,123328,0
Lâm Đồng,3048851,Age over 18,983684,969337,270379
Bình Phước,2263824,Age 5 to 11,24775,0,0
Bình Phước,2263824,Age 12 to 17,109872,101037,0
Bình Phước,2263824,Age over 18,753676,723821,328414
Tây Ninh,2616989,Age 5 to 11,5281,0,0
Tây Ninh,2616989,Age 12 to 17,109710,101513,0
Tây Ninh,2616989,Age over 18,948968,897255,521713
Bình Dương,6834780,Age 5 to 11,32184,0,0
Bình Dương,6834780,Age 12 to 17,199855,167983,0
Bình Dương,6834780,Age over 18,2634142,2196403,1440424
Đồng Nai,7185929,Age 5 to 11,78584,0,0
Đồng Nai,7185929,Age 12 to 17,298695,274599,0
Đồng Nai,7185929,Age over 18,2840333,2746943,765350
Bà Rịa - Vũng Tàu,2811451,Age 5 to 11,13162,0,0
Bà Rịa - Vũng Tàu,2811451,Age 12 to 17,110539,109284,0
Bà Rịa - Vũng Tàu,2811451,Age over 18,971107,913900,664784
Hồ Chí Minh,20701678,Age 5 to 11,233459,0,0
Hồ Chí Minh,20701678,Age 12 to 17,735852,686779,0
Hồ Chí Minh,20701678,Age over 18,7401055,6689934,4271471
Long An,4501980,Age 5 to 11,28426,0,0
Long An,4501980,Age 12 to 17,172997,159845,0
Long An,4501980,Age over 18,1501827,1465991,1149874
Tiền Giang,4048589,Age 5 to 11,14731,0,0
Tiền Giang,4048589,Age 12 to 17,158487,158833,0
Tiền Giang,4048589,Age over 18,1325690,1281884,870645
Bến Tre,3077262,Age 5 to 11,19821,0,0
Bến Tre,3077262,Age 12 to 17,107728,106287,0
Bến Tre,3077262,Age over 18,1024932,1014106,323587
Trà Vinh,2133686,Age 5 to 11,20764,0,0
Trà Vinh,2133686,Age 12 to 17,98647,94348,0
Trà Vinh,2133686,Age over 18,698980,685479,521092
Vĩnh Long,2503545,Age 5 to 11,20386,0,0
Vĩnh Long,2503545,Age 12 to 17,94177,89326,0
Vĩnh Long,2503545,Age over 18,779428,767461,462056
Đồng Tháp,3704365,Age 5 to 11,26924,0,0
Đồng Tháp,3704365,Age 12 to 17,159914,142815,0
Đồng Tháp,3704365,Age over 18,1161677,1220823,606117
An Giang,4268624,Age 5 to 11,12180,0,0
An Giang,4268624,Age 12 to 17,208127,192341,0
An Giang,4268624,Age over 18,1378121,1363647,448211
Kiên Giang,3549700,Age 5 to 11,19237,0,0
Kiên Giang,3549700,Age 12 to 17,167347,159082,0
Kiên Giang,3549700,Age over 18,1238102,1176657,720303
Cần Thơ,2852608,Age 5 to 11,23923,0,0
Cần Thơ,2852608,Age 12 to 17,111688,104367,0
Cần Thơ,2852608,Age over 18,945449,928450,385646
Hậu Giang,1620402,Age 5 to 11,12146,0,0
Hậu Giang,1620402,Age 12 to 17,74049,71656,0
Hậu Giang,1620402,Age over 18,533019,515667,156120
Sóc Trăng,2740769,Age 5 to 11,29261,0,0
Sóc Trăng,2740769,Age 12 to 17,116852,111026,0
Sóc Trăng,2740769,Age over 18,899036,865520,48563
Bạc Liêu,1739737,Age 5 to 11,15106,0,0
Bạc Liêu,1739737,Age 12 to 17,88835,86255,0
Bạc Liêu,1739737,Age over 18,568735,561364,237698
Cà Mau,2612644,Age 5 to 11,15520,0,0
Cà Mau,2612644,Age 12 to 17,127106,126643,0
Cà Mau,2612644,Age over 18,820314,809499,247085
