date,vaccinated,vaccinated_percent,completed_vaccination,completed_vaccination_percent
Feb 12/2022,79212013,0,8069,76162865,0,7758
Feb 11/2022,79203047,0,8068,76112928,0,7753
Feb 10/2022,79166489,0,8064,76057017,0,7748
Feb 9/2022,79162150,0,8064,,0
Feb 8/2022,79154392,0,8063,,0
Feb 7/2022,79139707,0,8062,,0
Feb 6/2022,79125022,0,806,,0
Feb 5/2022,79110337,0,8059,,0
Feb 4/2022,79095652,0,8057,,0
Feb 3/2022,79080967,0,8056,,0
Feb 2/2022,79080702,0,8056,,0
Feb 1/2022,79078859,0,8055,,0
Jan 31/2022,79069361,0,8054,,0
Jan 30/2022,79059864,0,8053,,0
Jan 29/2022,79055543,0,8053,,0
Jan 28/2022,79041734,0,8052,,0
Jan 27/2022,79014726,0,8049,,0
Jan 26/2022,78987718,0,8046,,0
Jan 25/2022,78953641,0,8043,,0
Jan 24/2022,78919564,0,8039,,0
Jan 23/2022,78894694,0,8037,,0
Jan 22/2022,78857993,0,8033,,0
Jan 21/2022,78821301,0,8029,,0
Jan 20/2022,78784609,0,8025,,0
Jan 19/2022,78747917,0,8022,,0
Jan 18/2022,78711225,0,8018,,0
Jan 17/2022,78674533,0,8014,,0
Jan 16/2022,78637841,0,801,,0
Jan 15/2022,78601149,0,8007,,0
Jan 14/2022,78564457,0,8003,,0
Jan 13/2022,78527765,0,7999,71946807,0,7329
Jan 12/2022,78470482,0,7993,,0
Jan 11/2022,78413199,0,7988,,0
Jan 10/2022,78389408,0,7985,,0
Jan 9/2022,78291624,0,7975,,0
Jan 8/2022,78247751,0,7971,,0
Jan 7/2022,78197217,0,7966,,0
Jan 6/2022,78146683,0,796,,0
Jan 5/2022,78110585,0,7957,,0
Jan 4/2022,77980598,0,7944,,0
Jan 3/2022,77850611,0,793,,0
Jan 2/2022,77796499,0,7925,,0
Jan 1/2022,77716169,0,7917,,0
Dec 31/2021,77635840,0,7908,,0
Dec 30/2021,77555511,0,79,68435813,0,6971
Dec 29/2021,77456770,0,789,,0
Dec 28/2021,77358030,0,788,,0
Dec 27/2021,77248323,0,7869,,0
Dec 26/2021,77138616,0,7858,,0
Dec 25/2021,77074627,0,7851,,0
Dec 24/2021,76881418,0,7832,,0
Dec 23/2021,76679502,0,7811,,0
Dec 22/2021,76483079,0,7791,,0
Dec 21/2021,76286660,0,7771,,0
Dec 20/2021,76090241,0,7751,,0
Dec 19/2021,75893822,0,7731,,0
