ma,province,total_doses,dose1_18andover,dose2_18andover,dose3_18andover,dose1_12to17,dose2_12to17,dose1_5to11,dose2_5to11,population_18andover,population_12to17,population_5to11,the_ratio_of_dose1/population_18andover,the_ratio_of_dose2/population_18andover,the_ratio_of_dose3/population_18andover,the_ratio_of_dose1/population_12to17,the_ratio_of_dose2/population_12to17,the_ratio_of_dose1/population_5to11,the_ratio_of_dose2/population_5to11
82,Tiền Giang,4.048.589,1.325.690,1.281.884,870.645,158.487,158.833,14.731,0,1.300.609,158.524,172.983,100.00,98.60,66.90,100.00,100.00,8.50,0.00
83,Bến Tre,3.077.262,1.024.932,1.014.106,323.587,107.728,106.287,19.821,0,1.038.922,104.446,132.151,98.70,97.60,31.10,100.00,100.00,15.00,0.00
84,Trà Vinh,2.133.686,698.980,685.479,521.092,98.647,94.348,20.764,0,698.227,96.275,120.411,100.00,98.20,74.60,100.00,98.00,17.20,0.00
86,Vĩnh Long,2.503.545,779.428,767.461,462.056,94.177,89.326,20.386,0,769.026,91.692,106.867,100.00,99.80,60.10,100.00,97.40,19.10,0.00
87,Đồng Tháp,3.704.365,1.161.677,1.220.823,606.117,159.914,142.815,26.924,0,1.245.157,159.973,178.550,93.30,98.00,48.70,100.00,89.30,15.10,0.00
89,An Giang,4.268.624,1.378.121,1.363.647,448.211,208.127,192.341,12.180,0,1.371.622,198.826,222.440,100.00,99.40,32.70,100.00,96.70,5.50,0.00
91,Kiên Giang,3.549.700,1.238.102,1.176.657,720.303,167.347,159.082,19.237,0,1.190.277,172.958,215.957,100.00,98.90,60.50,96.80,92.00,8.90,0.00
92,Cần Thơ,2.852.608,945.449,928.450,385.646,111.688,104.367,23.923,0,947.860,112.746,125.456,99.70,98.00,40.70,99.10,92.60,19.10,0.00
93,Hậu Giang,1.620.402,533.019,515.667,156.120,74.049,71.656,12.146,0,536.163,70.270,78.567,99.40,96.20,29.10,100.00,100.00,15.50,0.00
94,Sóc Trăng,2.740.769,899.036,865.520,48.563,116.852,111.026,29.261,0,866.520,111.555,201.296,100.00,99.90,5.60,100.00,99.50,14.50,0.00
95,Bạc Liêu,1.739.737,568.735,561.364,237.698,88.835,86.255,15.106,0,572.580,90.822,105.959,99.30,98.00,41.50,97.80,95.00,14.30,0.00
96,Cà Mau,2.612.644,820.314,809.499,247.085,127.106,126.643,15.520,0,813.771,112.247,126.774,100.00,99.50,30.40,100.00,100.00,12.20,0.00
